怪物名稱,等級 ,生命值,基礎經驗,掉落物品
Drake (青龍),50,3200,135,Dark Calaf (黑妖精禮服)
Drake (青龍),50,3200,135,Blue Lumati (藍貴族禮服)
Drake (青龍),50,3200,135,Red Anakarune (紅聖黨之服)
Drake (青龍),50,3200,135,Umber Shouldermail Pants (黑板金褲)
Drake (青龍),50,3200,135,Maroon Moon Pants (紫月褲)
Drake (青龍),50,3200,135,Black Green-Lined Shoes (綠流星鞋)
Drake (青龍),50,3200,135,Red Moon Shoes (紅月鞋)
Drake (青龍),50,3200,135,Gold Moon Shoes (黃月鞋)
Drake (青龍),50,3200,135,Dark Willow (黑意志手套)
Drake (青龍),50,3200,135,Pan Lid (鍋蓋)
Drake (青龍),50,3200,135,Kumbi Throwing-Stars (雪花鏢)
Drake (青龍),50,3200,135,Sai (華氏短劍)
Drake (青龍),50,3200,135,Thorns (白龍之杖)
Drake (青龍),50,3200,135,Sabretooth (格鬥斧)
Drake (青龍),50,3200,135,Zeco (雙天戟)
Drake (青龍),50,3200,135,Vaulter 2000 (暴風弓)
Drake (青龍),50,3200,135,Eagle Crow (鷹弩)
Drake (青龍),50,3200,135,Dark Avarice (黑護腕)
Drake (青龍),50,3200,135,White Potion (白色藥水)
Drake (青龍),50,3200,135,Elixir (特殊藥水)
Drake (青龍),50,3200,135,Speed Potion (速度藥水)
Drake (青龍),50,3200,135,Warrior Potion (攻擊藥水)
Drake (青龍),50,3200,135,Drake's Blood (暴龍之血)
Drake (青龍),50,3200,135,Drake's Meat (暴龍之肉)
Drake (青龍),50,3200,135,Scroll for Helmet for INT 10% (頭盔智力卷軸10%)
Drake (青龍),50,3200,135,Scroll for Topwear for Defense 10% (上衣防禦力 10% 捲軸)
Drake (青龍),50,3200,135,Drake Skull (暴龍的頭骨)
Drake (青龍),50,3200,135,Dragon Skin (龍皮)
Drake (青龍),50,3200,135,Silver Ore (銀的母礦)
Drake (青龍),50,3200,135,Gold Ore (黃金母礦)
Drake (青龍),50,3200,135,Diamond Ore (鑽石母礦)
Croco (黑鱷魚),52,3800,170,Brown Sonata (黃黑太陽帽)
Croco (黑鱷魚),52,3800,170,Dark Golden Circlet (黑黃金法冠)
Croco (黑鱷魚),52,3800,170,Light Scorpio (白飛影之服)
Croco (黑鱷魚),52,3800,170,Brown Moon (黃月)
Croco (黑鱷魚),52,3800,170,Red Calas (紅魔法戰士衣)
Croco (黑鱷魚),52,3800,170,Blue Lumati (藍貴族禮服)
Croco (黑鱷魚),52,3800,170,Green Lumati (綠貴族禮服)
Croco (黑鱷魚),52,3800,170,Black Royal Barone (紫色皇家套裝)
Croco (黑鱷魚),52,3800,170,Light Scorpio Pants (白飛影之褲)
Croco (黑鱷魚),52,3800,170,Brown Moon Pants (黃月褲)
Croco (黑鱷魚),52,3800,170,Bronze Pow (青銅柔絲手套)
Croco (黑鱷魚),52,3800,170,Wooden Legend Shield (古老木盾)
Croco (黑鱷魚),52,3800,170,Dragon Toenail (龍炎短劍)
Croco (黑鱷魚),52,3800,170,Hall Staff (護法之杖)
Croco (黑鱷魚),52,3800,170,White Potion (白色藥水)
Croco (黑鱷魚),52,3800,170,Blue Potion (藍色藥水)
Croco (黑鱷魚),52,3800,170,Elixir (特殊藥水)
Croco (黑鱷魚),52,3800,170,Scroll for Helmet for DEX 100% (頭盔敏捷卷軸100%)
Croco (黑鱷魚),52,3800,170,Scroll for One-Handed BW for Accuracy 60% (單手棍命中卷軸60%)
Croco (黑鱷魚),52,3800,170,Scroll for Two-Handed BW for Accuracy 60% (雙手棍命中卷軸60%)
Croco (黑鱷魚),52,3800,170,Scroll for Knuckler for ATT 60% (指虎攻擊力 60% 捲軸)
Croco (黑鱷魚),52,3800,170,Croco Skin (黑鱷魚皮)
Croco (黑鱷魚),52,3800,170,Bronze Ore (青銅母礦)
Croco (黑鱷魚),52,3800,170,Opal Ore (蛋白石母礦)
Croco (黑鱷魚),52,3800,170,Diamond Ore (鑽石母礦)
Stone Golem (石巨人),55,4000,170,Bronze Crusader Helm (青銅十字軍帽)
Stone Golem (石巨人),55,4000,170,Bronze Identity (青銅忍者頭巾)
Stone Golem (石巨人),55,4000,170,Sapphire Earrings (藍寶石耳環)
Stone Golem (石巨人),55,4000,170,Dark Shadow (黑暗之影)
Stone Golem (石巨人),55,4000,170,Dark Shadow (深夜之影)
Stone Golem (石巨人),55,4000,170,Red Moon (赤月)
Stone Golem (石巨人),55,4000,170,Green Ice Queen (綠鋼玉鎧甲)
Stone Golem (石巨人),55,4000,170,White Calas (白魔法戰士衣)
Stone Golem (石巨人),55,4000,170,Red Moon Pants (赤月褲)
Stone Golem (石巨人),55,4000,170,Green Ice Queen Skirt (綠鋼玉裙)
Stone Golem (石巨人),55,4000,170,Blue Pierre Shoes (藍精靈鞋)
Stone Golem (石巨人),55,4000,170,Green Goldwind Shoes (綠黃金風)
Stone Golem (石巨人),55,4000,170,Brown Double Boots (褐色強化皮靴)
Stone Golem (石巨人),55,4000,170,Dark Knuckle (黑色長手套)
Stone Golem (石巨人),55,4000,170,Gold Cleave (黃金盜賊手套)
Stone Golem (石巨人),55,4000,170,Red Cross Shield (紅十字盾牌)
Stone Golem (石巨人),55,4000,170,Mokbi Throwing-Stars (黑色利刃)
Stone Golem (石巨人),55,4000,170,Kumbi Throwing-Stars (雪花鏢)
Stone Golem (石巨人),55,4000,170,Hawkhead (猛禽斧)
Stone Golem (石巨人),55,4000,170,Ryden (雷電)
Stone Golem (石巨人),55,4000,170,Blue Potion (藍色藥水)
Stone Golem (石巨人),55,4000,170,Elixir (特殊藥水)
Stone Golem (石巨人),55,4000,170,Mana Elixir (活力藥水)
Stone Golem (石巨人),55,4000,170,Scroll for Bow for ATT 60% (弓攻擊卷軸60%)
Stone Golem (石巨人),55,4000,170,Scroll for Crossbow for ATT 60% (弩攻擊卷軸60%)
Stone Golem (石巨人),55,4000,170,Stone Golem Rubble (石塊)
Stone Golem (石巨人),55,4000,170,Black Crystal Ore (黑水晶母礦)
Malady (巫婆),55,4200,170,Yellow Duke (黃鐵頭盔)
Malady (巫婆),55,4200,170,Green Distinction (綠羽絲絨帽)
Malady (巫婆),55,4200,170,Crystal Flower Earrings (水仙耳環)
Malady (巫婆),55,4200,170,Blue Jangoon Armor (青金鎧甲)
Malady (巫婆),55,4200,170,Green Orientican (綠鋼玉鎧甲)
Malady (巫婆),55,4200,170,White Calaf (白妖精禮服)
Malady (巫婆),55,4200,170,Red Lumati (紅貴族禮服)
Malady (巫婆),55,4200,170,Black Jangoon Pants (黑金褲)
Malady (巫婆),55,4200,170,Green Orientican Pants (綠鋼玉褲)
Malady (巫婆),55,4200,170,Green Goldrunners (綠天使鞋)
Malady (巫婆),55,4200,170,Green Goldwind Shoes (綠黃金風)
Malady (巫婆),55,4200,170,Gold Brist (黃金合金手套)
Malady (巫婆),55,4200,170,Steal Pow (鋼鐵柔絲手套)
Malady (巫婆),55,4200,170,Brown Royce (褐色羅伊斯手套)
Malady (巫婆),55,4200,170,Shinkita (破碎刃)
Malady (巫婆),55,4200,170,Arc Staff (精靈長杖)
Malady (巫婆),55,4200,170,Asianic Bow (鳳凰之弓)
Malady (巫婆),55,4200,170,Olympus (天弓)
Malady (巫婆),55,4200,170,Sapphire Slain (藍寶手甲)
Malady (巫婆),55,4200,170,White Potion (白色藥水)
Malady (巫婆),55,4200,170,Blue Potion (藍色藥水)
Malady (巫婆),55,4200,170,Elixir (特殊藥水)
Malady (巫婆),55,4200,170,Scroll for Staff for Magic ATT 60% (長杖魔力卷軸60%)
Malady (巫婆),55,4200,170,Malady's Experimental Frog (巫婆的青蛙實驗)
Malady (巫婆),55,4200,170,Dark Crystal Ore (黑暗母礦)
Malady (巫婆),55,4200,170,The Magic Rock (魔法石)
Malady (巫婆),55,4200,170,Gold Ore (黃金母礦)
Malady (巫婆),55,4200,170,Black Crystal Ore (黑水晶母礦)
Skeleton Soldier (骷髏士兵),57,4500,190,Silver Planet (銀製戰盔)
Skeleton Soldier (骷髏士兵),57,4500,190,Red Infinium Circlet (紅神聖之冠)
Skeleton Soldier (骷髏士兵),57,4500,190,Brown Nightfox (褐天空之帽)
Skeleton Soldier (骷髏士兵),57,4500,190,Beige Patriot (黃司令帽)
Skeleton Soldier (骷髏士兵),57,4500,190,Blue Orientican (藍鋼玉鎧甲)
Skeleton Soldier (骷髏士兵),57,4500,190,Light Scorpio (白飛影之服)
Skeleton Soldier (骷髏士兵),57,4500,190,Blue Tai (青旋風甲)
Skeleton Soldier (骷髏士兵),57,4500,190,Red Anakarune (紅聖黨之服)
Skeleton Soldier (骷髏士兵),57,4500,190,Blue Orientican Pants (藍鋼玉褲)
Skeleton Soldier (骷髏士兵),57,4500,190,Light Scorpio Pants (白飛影之褲)
Skeleton Soldier (骷髏士兵),57,4500,190,Brown Steel-Tip Boots (褐弓手鞋)
Skeleton Soldier (骷髏士兵),57,4500,190,Blue Goni Shoes (藍雷電鞋)
Skeleton Soldier (骷髏士兵),57,4500,190,Emerald Hildon Boots (祖母綠將軍靴)
Skeleton Soldier (骷髏士兵),57,4500,190,Pink Goldwind Shoes (粉紅黃金風)
Skeleton Soldier (骷髏士兵),57,4500,190,Black Basile Boots (黑色巴西里靴)
Skeleton Soldier (骷髏士兵),57,4500,190,Blue Potion (藍色藥水)
Skeleton Soldier (骷髏士兵),57,4500,190,Elixir (特殊藥水)
Skeleton Soldier (骷髏士兵),57,4500,190,Scroll for Gloves for ATT 60% (手套攻擊卷軸60%)
Skeleton Soldier (骷髏士兵),57,4500,190,Scroll for One-Handed BW for Accuracy 100% (單手棍命中卷軸100%)
Skeleton Soldier (骷髏士兵),57,4500,190,Scroll for Wand for Magic ATT 60% (短杖魔力卷軸60%)
Skeleton Soldier (骷髏士兵),57,4500,190,Scroll for Staff for Magic ATT 60% (長杖魔力卷軸60%)
Skeleton Soldier (骷髏士兵),57,4500,190,Scroll for Staff for Magic ATT 10% (長杖魔力卷軸10%)
Skeleton Soldier (骷髏士兵),57,4500,190,Scroll for Spear for Accuracy 60% (槍命中卷軸60%)
Skeleton Soldier (骷髏士兵),57,4500,190,Scroll for Claw for ATT 60% (拳套攻擊卷軸60%)
Skeleton Soldier (骷髏士兵),57,4500,190,Rib (肋骨)
Skeleton Soldier (骷髏士兵),57,4500,190,Orihalcon Ore (紫礦石母礦)
Skeleton Soldier (骷髏士兵),57,4500,190,Opal Ore (蛋白石母礦)
Miner Zombie (礦山殭屍),57,4500,190,Blue Oriental Helmet (將軍青頭盔)
Miner Zombie (礦山殭屍),57,4500,190,White Guiltian (白魔道之帽)
Miner Zombie (礦山殭屍),57,4500,190,Brown Distinction (褐羽絲絨帽)
Miner Zombie (礦山殭屍),57,4500,190,Blue Seraphis (藍和平之帽)
Miner Zombie (礦山殭屍),57,4500,190,Pansy Earrings (紫荊花耳環)
Miner Zombie (礦山殭屍),57,4500,190,Red Jangoon Armor (紅鎮月鎧甲)
Miner Zombie (礦山殭屍),57,4500,190,Purple Mystique (紫朱雀之甲)
Miner Zombie (礦山殭屍),57,4500,190,Brown Choro (黃草露)
Miner Zombie (礦山殭屍),57,4500,190,White Anakarune (白聖黨之服)
Miner Zombie (礦山殭屍),57,4500,190,Beige Lineros (褐飄雲之衣)
Miner Zombie (礦山殭屍),57,4500,190,Red Jangoon Skirt (紅鎮月裙)
Miner Zombie (礦山殭屍),57,4500,190,Purple Mystique Pants (紫朱雀之褲)
Miner Zombie (礦山殭屍),57,4500,190,Red Goni Shoes (紅雷電鞋)
Miner Zombie (礦山殭屍),57,4500,190,Mithril Hildon Boots (鋰礦藍將軍靴)
Miner Zombie (礦山殭屍),57,4500,190,Blue Goldwind Shoes (藍黃金風)
Miner Zombie (礦山殭屍),57,4500,190,Gold Pow (黃金柔絲手套)
Miner Zombie (礦山殭屍),57,4500,190,Adamantium Legend Shield (古老朱礦盾)
Miner Zombie (礦山殭屍),57,4500,190,White Magic Cape (白色魔法披風)
Miner Zombie (礦山殭屍),57,4500,190,Bazlud (刺客短刀)
Miner Zombie (礦山殭屍),57,4500,190,White Potion (白色藥水)
Miner Zombie (礦山殭屍),57,4500,190,Blue Potion (藍色藥水)
Miner Zombie (礦山殭屍),57,4500,190,Elixir (特殊藥水)
Miner Zombie (礦山殭屍),57,4500,190,Scroll for Helmet for DEX 60% (頭盔敏捷卷軸60%)
Miner Zombie (礦山殭屍),57,4500,190,Scroll for Topwear for Defense 10% (上衣防禦力 10% 捲軸)
Miner Zombie (礦山殭屍),57,4500,190,Scroll for Topwear for STR 10% (上衣力量卷軸10%)
Miner Zombie (礦山殭屍),57,4500,190,Zombie's Lost Tooth (殭屍的臼齒)
Miner Zombie (礦山殭屍),57,4500,190,Zombie's Lost Gold Tooth (殭屍的金齒)
Miner Zombie (礦山殭屍),57,4500,190,Dexterous Crystal Ore (敏捷水晶母礦)
Miner Zombie (礦山殭屍),57,4500,190,Steel Ore (鋼鐵母礦)
Miner Zombie (礦山殭屍),57,4500,190,Opal Ore (蛋白石母礦)
Dark Stone Golem (黑曜石巨人),58,4800,200,Old Steel Nordic Helm (舊諾曼頭盔)
Dark Stone Golem (黑曜石巨人),58,4800,200,Green Sonata (綠黑太陽帽)
Dark Stone Golem (黑曜石巨人),58,4800,200,Black Maro (黑貴族軟帽)
Dark Stone Golem (黑曜石巨人),58,4800,200,Dark Identity (黑忍者頭巾)
Dark Stone Golem (黑曜石巨人),58,4800,200,Holy Cross Earrings (聖十字耳環)
Dark Stone Golem (黑曜石巨人),58,4800,200,Maroon Jangoon Armor (紫金鎧甲)
Dark Stone Golem (黑曜石巨人),58,4800,200,Red Orientican (紅鋼玉鎧甲)
Dark Stone Golem (黑曜石巨人),58,4800,200,Purple Shadow (花精之影)
Dark Stone Golem (黑曜石巨人),58,4800,200,Dark Starlight (黑星光長袍)
Dark Stone Golem (黑曜石巨人),58,4800,200,Blue Tai (青旋風甲)
Dark Stone Golem (黑曜石巨人),58,4800,200,White Jangoon Pants (白金褲)
Dark Stone Golem (黑曜石巨人),58,4800,200,Red Orientican Pants (紅鋼玉褲)
Dark Stone Golem (黑曜石巨人),58,4800,200,Purple Shadow Pants (樹林之褲)
Dark Stone Golem (黑曜石巨人),58,4800,200,Brown Pierre Shoes (褐精靈鞋)
Dark Stone Golem (黑曜石巨人),58,4800,200,Blue Goldrunners (藍天使鞋)
Dark Stone Golem (黑曜石巨人),58,4800,200,Steel Brist (鋼鐵合金手套)
Dark Stone Golem (黑曜石巨人),58,4800,200,Dark Manute (黑封印手套)
Dark Stone Golem (黑曜石巨人),58,4800,200,Black Magic Cape (黑色魔法披風)
Dark Stone Golem (黑曜石巨人),58,4800,200,Tobi Throwing-Stars (梅之鏢)
Dark Stone Golem (黑曜石巨人),58,4800,200,Evil Wings (魔靈之翼)
Dark Stone Golem (黑曜石巨人),58,4800,200,Burning Hell (灼熱地獄)
Dark Stone Golem (黑曜石巨人),58,4800,200,Blue Potion (藍色藥水)
Dark Stone Golem (黑曜石巨人),58,4800,200,Elixir (特殊藥水)
Dark Stone Golem (黑曜石巨人),58,4800,200,Scroll for Topwear for LUK 60% (上衣幸運卷軸60%)
Dark Stone Golem (黑曜石巨人),58,4800,200,Scroll for Bottomwear for Mobility 60% (褲裙移動速度 60% 捲軸)
Dark Stone Golem (黑曜石巨人),58,4800,200,Scroll for Two-Handed Sword for ATT 60% (雙手劍攻擊力 60% 捲軸)
Dark Stone Golem (黑曜石巨人),58,4800,200,Scroll for Two-Handed Axe for ATT 60% (雙手斧攻擊力 60% 捲軸)
Dark Stone Golem (黑曜石巨人),58,4800,200,Scroll for Two-Handed BW for ATT 60% (雙手鈍器攻擊力 60% 捲軸)
Dark Stone Golem (黑曜石巨人),58,4800,200,Scroll for Knuckler for ATT 10% (指虎攻擊力 10% 捲軸)
Dark Stone Golem (黑曜石巨人),58,4800,200,Dark Stone Golem Rubble (黑石塊)
Dark Stone Golem (黑曜石巨人),58,4800,200,Ancient Scroll (古代卷軸)
Dark Stone Golem (黑曜石巨人),58,4800,200,Dark Crystal Ore (黑暗母礦)
Dark Stone Golem (黑曜石巨人),58,4800,200,Black Crystal Ore (黑水晶母礦)
Mixed Golem (混種石巨人),59,6000,210,Red Oriental Helmet (將軍的紅頭盔)
Mixed Golem (混種石巨人),59,6000,210,Brown Pilfer (褐海盜頭巾)
Mixed Golem (混種石巨人),59,6000,210,Silver Identity (銀忍者頭巾)
Mixed Golem (混種石巨人),59,6000,210,White Polyfeather Hat (白弓羽)
Mixed Golem (混種石巨人),59,6000,210,Blue Orientican (藍鋼玉鎧甲)
Mixed Golem (混種石巨人),59,6000,210,Maroon Moon (紫月)
Mixed Golem (混種石巨人),59,6000,210,Light Mantis (灰飛影之服)
Mixed Golem (混種石巨人),59,6000,210,Blue Lumati (藍貴族禮服)
Mixed Golem (混種石巨人),59,6000,210,Red Orientican Pants (紅鋼玉褲)
Mixed Golem (混種石巨人),59,6000,210,Blue Orientican Pants (藍鋼玉褲)
Mixed Golem (混種石巨人),59,6000,210,Maroon Moon Pants (紫月褲)
Mixed Golem (混種石巨人),59,6000,210,Light Mantis Pants (灰飛影之褲)
Mixed Golem (混種石巨人),59,6000,210,Green Gore Boots (綠花精鞋)
Mixed Golem (混種石巨人),59,6000,210,Black Basile Boots (黑色巴西里靴)
Mixed Golem (混種石巨人),59,6000,210,Brown Moon Gloves (黃月手套)
Mixed Golem (混種石巨人),59,6000,210,Gold Manute (黃金封印手套)
Mixed Golem (混種石巨人),59,6000,210,Tobi Throwing-Stars (梅之鏢)
Mixed Golem (混種石巨人),59,6000,210,Evil Tale (火焰之杖)
Mixed Golem (混種石巨人),59,6000,210,White Potion (白色藥水)
Mixed Golem (混種石巨人),59,6000,210,Blue Potion (藍色藥水)
Mixed Golem (混種石巨人),59,6000,210,Elixir (特殊藥水)
Mixed Golem (混種石巨人),59,6000,210,Scroll for Gloves for ATT 60% (手套攻擊卷軸60%)
Mixed Golem (混種石巨人),59,6000,210,Scroll for Gloves for Defense 60% (手套防禦力 60% 捲軸)
Mixed Golem (混種石巨人),59,6000,210,Scroll for Shield for Defense 60% (盾牌防禦力 60% 捲軸)
Mixed Golem (混種石巨人),59,6000,210,Scroll for Shield for ATT 100% (盾牌攻擊力 100% 捲軸)
Mixed Golem (混種石巨人),59,6000,210,Scroll for Bow for ATT 60% (弓攻擊卷軸60%)
Mixed Golem (混種石巨人),59,6000,210,Mixed Block (混種石塊)
Mixed Golem (混種石巨人),59,6000,210,Gold Ore (黃金母礦)
Mixed Golem (混種石巨人),59,6000,210,Black Crystal Ore (黑水晶母礦)
Red Drake (赤龍),60,6000,220,Dark Seraphis (黑和平之帽)
Red Drake (赤龍),60,6000,220,Silver Identity (銀忍者頭巾)
Red Drake (赤龍),60,6000,220,Brown Piette (褐貴族之服)
Red Drake (赤龍),60,6000,220,Dark Piette (黑貴族之服)
Red Drake (赤龍),60,6000,220,Marine Shadow (滄海之影)
Red Drake (赤龍),60,6000,220,Dark Scorpio (黑飛影之服)
Red Drake (赤龍),60,6000,220,Mithril Platine (鋰礦暴風甲)
Red Drake (赤龍),60,6000,220,Red Moon (赤月)
Red Drake (赤龍),60,6000,220,Red Calas (紅魔法戰士衣)
Red Drake (赤龍),60,6000,220,Dark Anakamoon (黑神聖服)
Red Drake (赤龍),60,6000,220,Dark Piette Pants (黑貴族褲)
Red Drake (赤龍),60,6000,220,Marine Shadow Pants (滄海之褲)
Red Drake (赤龍),60,6000,220,Dark Scorpio Pants (黑飛影之褲)
Red Drake (赤龍),60,6000,220,Mithril Platine Pants (鋰礦暴風褲)
Red Drake (赤龍),60,6000,220,Red Moon Pants (赤月褲)
Red Drake (赤龍),60,6000,220,Red Mystique Pants (紅朱雀之褲)
Red Drake (赤龍),60,6000,220,Pink Goldrunners (粉紅天使鞋)
Red Drake (赤龍),60,6000,220,Green Gore Boots (綠花精鞋)
Red Drake (赤龍),60,6000,220,Orihalcon Camel Boots (紫十字鞋)
Red Drake (赤龍),60,6000,220,Gold Lapiz Sandals (金水晶涼鞋)
Red Drake (赤龍),60,6000,220,Blue Mystique Shoes (藍龍皮鞋)
Red Drake (赤龍),60,6000,220,Red Moon Gloves (赤月手套)
Red Drake (赤龍),60,6000,220,Blue Eyes (藍神眼手套)
Red Drake (赤龍),60,6000,220,Skull Shield (骷髏盾)
Red Drake (赤龍),60,6000,220,Red Gaia Cape (紅鬥士披風)
Red Drake (赤龍),60,6000,220,Blaze Capsule (烈焰膠囊)
Red Drake (赤龍),60,6000,220,Steely Throwing-Knives (雷之鏢)
Red Drake (赤龍),60,6000,220,Sai (華氏短劍)
Red Drake (赤龍),60,6000,220,Crystal Wand (水晶短杖)
Red Drake (赤龍),60,6000,220,Evil Tale (火焰之杖)
Red Drake (赤龍),60,6000,220,Psycho Claw
Red Drake (赤龍),60,6000,220,Elixir (特殊藥水)
Red Drake (赤龍),60,6000,220,Mana Elixir (活力藥水)
Red Drake (赤龍),60,6000,220,Scroll for Earring for INT 60% (耳環智力卷軸60%)
Red Drake (赤龍),60,6000,220,Scroll for Earring for INT 10% (耳環智力卷軸10%)
Red Drake (赤龍),60,6000,220,Scroll for Earring for LUK 100% (耳環幸運卷軸100%)
Red Drake (赤龍),60,6000,220,Scroll for Shield for Defense 60% (盾牌防禦力 60% 捲軸)
Red Drake (赤龍),60,6000,220,Drake Skull (暴龍的頭骨)
Red Drake (赤龍),60,6000,220,Dragon Skin (龍皮)
Red Drake (赤龍),60,6000,220,Flaming Feather (火焰羽毛)
Red Drake (赤龍),60,6000,220,Orihalcon Ore (紫礦石母礦)
Red Drake (赤龍),60,6000,220,Diamond Ore (鑽石母礦)
Wild Kargo (魔龍),62,5500,240,Steel Nordic Helm (諾曼頭盔)
Wild Kargo (魔龍),62,5500,240,Red Distinction (紅羽絲絨帽)
Wild Kargo (魔龍),62,5500,240,Dark Golden Circlet (黑黃金法冠)
Wild Kargo (魔龍),62,5500,240,Blue China (青陽)
Wild Kargo (魔龍),62,5500,240,Red Shouldermail (紅將軍鎧甲)
Wild Kargo (魔龍),62,5500,240,Red Mystique (紅朱雀之甲)
Wild Kargo (魔龍),62,5500,240,Orange Calas (朱紅魔法戰士衣)
Wild Kargo (魔龍),62,5500,240,Red Tai (赤旋風甲)
Wild Kargo (魔龍),62,5500,240,Red Anakarune (紅聖黨之服)
Wild Kargo (魔龍),62,5500,240,Brown Requierre (褐天上之衣)
Wild Kargo (魔龍),62,5500,240,Blue China Pants (青陽褲)
Wild Kargo (魔龍),62,5500,240,Red Shouldermail Pants (紅將軍褲)
Wild Kargo (魔龍),62,5500,240,Red Mystique Pants (紅朱雀之褲)
Wild Kargo (魔龍),62,5500,240,Orihalcon Camel Boots (紫十字鞋)
Wild Kargo (魔龍),62,5500,240,Blue Carzen Boots (藍飛魂鞋)
Wild Kargo (魔龍),62,5500,240,Dark Clench (黑戰鬥手套)
Wild Kargo (魔龍),62,5500,240,Brown Moon Gloves (黃月手套)
Wild Kargo (魔龍),62,5500,240,Sephia Garner (赤神功手套)
Wild Kargo (魔龍),62,5500,240,Blue Eyes (藍神眼手套)
Wild Kargo (魔龍),62,5500,240,Black Bisk (黑色威斯克手套)
Wild Kargo (魔龍),62,5500,240,Red Magic Cape (紅色魔法披風)
Wild Kargo (魔龍),62,5500,240,Tobi Throwing-Stars (梅之鏢)
Wild Kargo (魔龍),62,5500,240,Thorns (白龍之杖)
Wild Kargo (魔龍),62,5500,240,Golden Mole (黃金錘)
Wild Kargo (魔龍),62,5500,240,Skylar (方天戟)
Wild Kargo (魔龍),62,5500,240,Blood Gigantic (赤紅戰神拳套)
Wild Kargo (魔龍),62,5500,240,Power Elixir (超級藥水)
Wild Kargo (魔龍),62,5500,240,Mana Elixir (活力藥水)
Wild Kargo (魔龍),62,5500,240,Scroll for Helmet for Defense 60% (頭盔防禦力 60% 捲軸)
Wild Kargo (魔龍),62,5500,240,Scroll for Earring for LUK 10% (耳環幸運卷軸10%)
Wild Kargo (魔龍),62,5500,240,Scroll for Gloves for Defense 100% (手套防禦力 100% 捲軸)
Wild Kargo (魔龍),62,5500,240,Scroll for One-Handed BW for ATT 60% (單手棍攻擊卷軸60%)
Wild Kargo (魔龍),62,5500,240,Scroll for One-Handed BW for Accuracy 60% (單手棍命中卷軸60%)
Wild Kargo (魔龍),62,5500,240,Scroll for Wand for Magic ATT 60% (短杖魔力卷軸60%)
Wild Kargo (魔龍),62,5500,240,Scroll for Staff for Magic ATT 60% (長杖魔力卷軸60%)
Wild Kargo (魔龍),62,5500,240,Scroll for Knuckler for Accuracy 10% (指虎命中率 10% 捲軸)
Wild Kargo (魔龍),62,5500,240,Wild Kargo Eye (魔龍之眼)
Wild Kargo (魔龍),62,5500,240,Gold Ore (黃金母礦)
Wild Kargo (魔龍),62,5500,240,Black Crystal Ore (黑水晶母礦)
Officer Skeleton (骷髏士官),63,7200,240,Blue Oriental Helmet (將軍青頭盔)
Officer Skeleton (骷髏士官),63,7200,240,Dark Seraphis (黑和平之帽)
Officer Skeleton (骷髏士官),63,7200,240,Silver Identity (銀忍者頭巾)
Officer Skeleton (骷髏士官),63,7200,240,White Polyfeather Hat (白弓羽)
Officer Skeleton (骷髏士官),63,7200,240,Blood Nightfox (紅天空之帽)
Officer Skeleton (骷髏士官),63,7200,240,Blue Moon (藍月耳環)
Officer Skeleton (骷髏士官),63,7200,240,Blue Moon (青月)
Officer Skeleton (骷髏士官),63,7200,240,Black Basile Boots (黑色巴西里靴)
Officer Skeleton (骷髏士官),63,7200,240,Mithril Brist (鋰礦合金手套)
Officer Skeleton (骷髏士官),63,7200,240,Blue Moon Gloves (藍月手套)
Officer Skeleton (骷髏士官),63,7200,240,Blue Pennance (藍元素手套)
Officer Skeleton (骷髏士官),63,7200,240,Red Willow (紅意志手套)
Officer Skeleton (骷髏士官),63,7200,240,Silver Rover (銀名譽手套)
Officer Skeleton (骷髏士官),63,7200,240,Brown Lorin (褐戰魂手套)
Officer Skeleton (骷髏士官),63,7200,240,Bronze Husk (青銅暗影手套)
Officer Skeleton (骷髏士官),63,7200,240,Blue Eyes (藍神眼手套)
Officer Skeleton (骷髏士官),63,7200,240,Adamantium Legend Shield (古老朱礦盾)
Officer Skeleton (骷髏士官),63,7200,240,Mighty Bullet (強力子彈)
Officer Skeleton (骷髏士官),63,7200,240,Neocora (奇型刀)
Officer Skeleton (骷髏士官),63,7200,240,Serpent's Coil (金蛇劍)
Officer Skeleton (骷髏士官),63,7200,240,Blood Gigantic (赤紅戰神拳套)
Officer Skeleton (骷髏士官),63,7200,240,Beia Crash (拜爾毀滅拳套)
Officer Skeleton (骷髏士官),63,7200,240,White Potion (白色藥水)
Officer Skeleton (骷髏士官),63,7200,240,Elixir (特殊藥水)
Officer Skeleton (骷髏士官),63,7200,240,Dexterity Potion (敏捷藥水)
Officer Skeleton (骷髏士官),63,7200,240,Scroll for Earring for STR 100% (耳環力量 100% 捲軸)
Officer Skeleton (骷髏士官),63,7200,240,Scroll for Topwear for LUK 100% (上衣幸運卷軸100%)
Officer Skeleton (骷髏士官),63,7200,240,Scroll for Topwear for STR 100% (上衣力量卷軸100%)
Officer Skeleton (骷髏士官),63,7200,240,Scroll for Gloves for ATT 60% (手套攻擊卷軸60%)
Officer Skeleton (骷髏士官),63,7200,240,Scroll for Shield for ATT 100% (盾牌攻擊力 100% 捲軸)
Officer Skeleton (骷髏士官),63,7200,240,Scroll for Staff for Magic ATT 10% (長杖魔力卷軸10%)
Officer Skeleton (骷髏士官),63,7200,240,Pelvic Bone (骨盆)
Officer Skeleton (骷髏士官),63,7200,240,Bronze Ore (青銅母礦)
Officer Skeleton (骷髏士官),63,7200,240,Emerald Ore (祖母綠母礦)
